Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WC - West Coast District Municipality (DC1),Male,0-4,17410,17303,17091,16824,16551,16364,16469,16859,17481,18203,18915,19528,19917,20153,20735
WC - West Coast District Municipality (DC1),Male,5-9,16815,17144,17478,17765,17914,17955,17820,17521,17191,17029,17103,17348,17808,18398,18651
WC - West Coast District Municipality (DC1),Male,10-14,15824,16175,16546,16929,17297,17648,17981,18298,18523,18541,18419,18167,17892,17744,17593
WC - West Coast District Municipality (DC1),Male,15-19,13392,14310,15165,16011,16293,16819,17248,17556,17766,17940,18363,18808,19163,19320,19647
WC - West Coast District Municipality (DC1),Male,20-24,11840,12250,12771,13267,14262,15205,16109,17018,17996,18383,18735,19055,19376,19714,20077
WC - West Coast District Municipality (DC1),Male,25-29,13197,13060,13001,13079,13314,13622,14075,14603,15087,16164,17129,18091,19099,20203,21418
WC - West Coast District Municipality (DC1),Male,30-34,14359,14374,14309,14220,14176,14152,14130,14145,14251,14486,14833,15312,15860,16362,16821
WC - West Coast District Municipality (DC1),Male,35-39,12821,13320,13780,14142,14419,14615,14723,14759,14751,14738,14736,14747,14813,14974,15019
WC - West Coast District Municipality (DC1),Male,40-44,10608,10939,11325,11762,12258,12748,13284,13816,14267,14599,14782,14886,14959,15031,15189
WC - West Coast District Municipality (DC1),Male,45-49,9047,9261,9459,9686,9994,10338,10723,11148,11603,12079,12575,13110,13642,14101,14662
WC - West Coast District Municipality (DC1),Male,50-54,7056,7365,7701,8022,8327,8613,8868,9110,9373,9677,10007,10375,10788,11241,11657
WC - West Coast District Municipality (DC1),Male,55-59,5780,5875,5991,6158,6391,6647,6952,7287,7615,7914,8160,8386,8620,8894,9174
WC - West Coast District Municipality (DC1),Male,60-64,4365,4523,4699,4869,5027,5161,5276,5397,5553,5759,5994,6274,6580,6880,7181
WC - West Coast District Municipality (DC1),Male,65-69,3241,3273,3311,3380,3486,3622,3777,3934,4076,4203,4307,4405,4519,4669,4797
WC - West Coast District Municipality (DC1),Male,70-74,1852,2009,2151,2259,2335,2380,2426,2490,2580,2692,2798,2917,3035,3144,3270
WC - West Coast District Municipality (DC1),Male,75-79,854,828,845,915,1044,1152,1253,1342,1418,1481,1511,1553,1616,1703,1767
WC - West Coast District Municipality (DC1),Male,80+,451,468,487,508,530,535,541,546,552,558,628,699,772,848,924
WC - West Coast District Municipality (DC1),Female,0-4,17596,17375,17041,16646,16244,15987,16080,16502,17193,18006,18795,19439,19813,20008,20626
WC - West Coast District Municipality (DC1),Female,5-9,17100,17354,17635,17868,17950,17921,17696,17302,16883,16656,16696,16955,17465,18135,18399
WC - West Coast District Municipality (DC1),Female,10-14,16080,16457,16812,17162,17486,17824,18133,18425,18598,18553,18384,18074,17708,17463,17245
WC - West Coast District Municipality (DC1),Female,15-19,14121,14789,15449,16127,16517,17032,17462,17787,18054,18299,18664,19047,19380,19543,19855
WC - West Coast District Municipality (DC1),Female,20-24,12744,13117,13599,14091,14810,15528,16226,16929,17672,18134,18578,18982,19341,19705,20139
WC - West Coast District Municipality (DC1),Female,25-29,13621,13460,13377,13429,13644,13966,14416,14942,15456,16242,16979,17732,18528,19385,20284
WC - West Coast District Municipality (DC1),Female,30-34,14465,14441,14323,14176,14080,14039,14023,14057,14184,14437,14819,15330,15920,16490,16995
WC - West Coast District Municipality (DC1),Female,35-39,12636,13133,13615,13992,14260,14395,14441,14435,14410,14394,14363,14382,14512,14755,14826
WC - West Coast District Municipality (DC1),Female,40-44,10828,11054,11285,11584,11991,12431,12951,13477,13910,14213,14349,14416,14472,14535,14663
WC - West Coast District Municipality (DC1),Female,45-49,8656,9052,9483,9899,10294,10591,10845,11107,11430,11832,12264,12778,13321,13789,14316
WC - West Coast District Municipality (DC1),Female,50-54,7188,7306,7458,7670,7972,8323,8744,9195,9623,10000,10292,10550,10832,11183,11524
WC - West Coast District Municipality (DC1),Female,55-59,6323,6421,6506,6608,6749,6879,7016,7180,7397,7684,8004,8397,8833,9265,9692
WC - West Coast District Municipality (DC1),Female,60-64,4533,4823,5146,5442,5683,5855,5986,6097,6214,6352,6489,6624,6777,6978,7142
WC - West Coast District Municipality (DC1),Female,65-69,3443,3481,3527,3629,3803,4030,4313,4608,4869,5084,5258,5406,5553,5712,5898
WC - West Coast District Municipality (DC1),Female,70-74,2146,2345,2527,2662,2752,2795,2815,2870,2993,3183,3429,3702,3964,4193,4486
WC - West Coast District Municipality (DC1),Female,75-79,1398,1311,1291,1354,1504,1724,1917,2051,2112,2097,2088,2103,2171,2307,2349
WC - West Coast District Municipality (DC1),Female,80+,1260,1307,1358,1411,1468,1478,1490,1504,1521,1542,1634,1731,1832,1938,2035
WC - Cape Winelands District Municipality (DC2),Male,0-4,35793,35705,35448,35108,34774,34486,34682,35362,36446,37708,38852,39915,40639,41142,42153
WC - Cape Winelands District Municipality (DC2),Male,5-9,34392,34944,35552,36116,36453,36592,36429,35997,35531,35377,35572,35996,36756,37737,38196
WC - Cape Winelands District Municipality (DC2),Male,10-14,33134,33588,34090,34616,35113,35723,36300,36843,37212,37212,37102,36752,36350,36142,35931
